,text,created_at,retweet_count,favorite_count,twitter handle,Officeholder name,Office title,Date assumed office,Party affiliation,candidate_name,party
0,Well said indeed @KamalaHarris https://t.co/5niQrvHnAj,Wed Feb 26 23:56:12 +0000 2020,1,2,ReElectHank,Hank Johnson,U.S. House Georgia District 4,2007-01-04,Democratic Party,Hank Johnson,democratic
1,"Today represents much more than another campaign run. Today represents a recommitment to protecting healthcare, vot… https://t.co/a2C44u9S7K",Mon Mar 02 17:51:16 +0000 2020,5,12,ReElectHank,Hank Johnson,U.S. House Georgia District 4,2007-01-04,Democratic Party,Hank Johnson,democratic
2,A skilled workforce will be key to deploying 5G technology in the United States. Congrats to @WIAorg on receiving a… https://t.co/1h9ajb3RfQ,Thu Feb 27 15:22:06 +0000 2020,1,5,RepGuthrie,Brett Guthrie,U.S. House Kentucky District 2,2009-01-06,Republican Party,Brett Guthrie,republican
3,Election Day is close- I'm having fun making my final get out the vote stops! Lots of excitement around Republican candidates!,Fri Nov 02 18:27:01 +0000 2018,6,13,brettguthrie,Brett Guthrie,U.S. House Kentucky District 2,2009-01-06,Republican Party,Brett Guthrie,republican
4,ICYMI: My interview with WLKY News about my background and how it has helped guide my work in Congress!… https://t.co/FqeE6J47Pc,Tue Nov 06 15:25:16 +0000 2018,2,4,brettguthrie,Brett Guthrie,U.S. House Kentucky District 2,2009-01-06,Republican Party,Brett Guthrie,republican
5,"Today is #ReadAcrossAmericaDay, a time to highlight the importance of literacy for all ages. As a member of the Edu… https://t.co/aEIvTWKorE",Mon Mar 02 22:30:23 +0000 2020,111,884,RepStefanik,Elise Stefanik,U.S. House New York District 21,2015-01-06,Republican Party,Elise Stefanik,republican
6,✅Passed the House: the Fair Debt Collection Practices for Servicemembers Act. Our men and women in uniform should b… https://t.co/x9WLtlEeMa,Tue Mar 03 00:00:53 +0000 2020,92,383,RepStefanik,Elise Stefanik,U.S. House New York District 21,2015-01-06,Republican Party,Elise Stefanik,republican
7,Productive roundtable with voters in Paul Smith’s yesterday! Great discussion with Franklin County Conservative Par… https://t.co/fL1kE3V3AA,Sun Mar 01 17:25:11 +0000 2020,69,352,EliseStefanik,Elise Stefanik,U.S. House New York District 21,2015-01-06,Republican Party,Elise Stefanik,republican
8,"It’s important to keep the coronavirus in perspective w/ other illnesses (such as the flu), &amp; for Congress to ensur… https://t.co/K7hCKei3G0",Tue Mar 03 02:19:18 +0000 2020,193,677,RepAndyBiggsAZ,Andy Biggs,U.S. House Arizona District 5,2017-01-03,Republican Party,Andy Biggs,republican
9,"I'm at #CPAC2020, getting ready to join @trish_regan at 8:40 EST on @FoxBusiness. Great to be with so many fellow c… https://t.co/Zuhisf4GRQ",Fri Feb 28 01:01:21 +0000 2020,39,244,andybiggs4az,Andy Biggs,U.S. House Arizona District 5,2017-01-03,Republican Party,Andy Biggs,republican
10,Great to see my friend @mattgaetz at #CPAC2020. https://t.co/MEsrDRQo1J,Fri Feb 28 01:17:31 +0000 2020,4,11,andybiggs4az,Andy Biggs,U.S. House Arizona District 5,2017-01-03,Republican Party,Andy Biggs,republican
11,"Looking for up-to-date information on #COVID19 / #coronavirus ? 

Take a look at this resource from @CDCgov: https://t.co/fSqbtHUHHg",Mon Mar 02 18:07:47 +0000 2020,7,19,RepBarragan,Nanette Barragán,U.S. House California District 44,2017-01-03,Democratic Party,Nanette Barragán,democratic
12,👇🏾 https://t.co/6xTlAklKjv,Mon Dec 23 18:59:25 +0000 2019,4,4,Nanette4CA,Nanette Barragán,U.S. House California District 44,2017-01-03,Democratic Party,Nanette Barragán,democratic
13,Today we honor Martin Luther King Jr. at the 35th Annual Kingdom Day Parade. #MLKDay https://t.co/NPdK9CtW8B,Mon Jan 20 18:13:59 +0000 2020,3,10,Nanette4CA,Nanette Barragán,U.S. House California District 44,2017-01-03,Democratic Party,Nanette Barragán,democratic
14,"Polls are open until 7 p.m., Virginia! Be sure to have a photo ID with you when you vote, and encourage your friend… https://t.co/G0X3CrUvCT",Tue Mar 03 12:41:00 +0000 2020,56,121,JenniferWexton,Jennifer Wexton,U.S. House Virginia District 10,2019-01-03,Democratic Party,Jennifer Wexton,democratic
